category,storage_type,quantity,purchase_temperature_c,moisture_level,perishability_index,household_usage_speed,shelf_life_days,wasted
milk,fridge,1,4.4,0.853,7.37,0.569,7,0
citrus,pantry,4,21.2,0.382,3.68,0.873,11,0
apple,pantry,5,23.4,0.486,2.79,0.406,13,0
berries,fridge,3,0.8,0.798,8.79,0.885,5,0
apple,pantry,5,24.0,0.405,4.19,0.799,12,0
leafy greens,pantry,3,25.2,0.873,8.54,0.488,1,0
rice (cooked),pantry,2,25.6,0.612,7.87,0.254,2,1
root vegetables,pantry,2,24.4,0.128,2.79,0.636,9,1
berries,fridge,2,2.1,0.891,9.37,0.427,5,0
fish (raw),freezer,4,-17.1,0.622,10.0,0.53,7,0
rice (cooked),fridge,3,5.0,0.506,5.97,0.788,4,0
citrus,pantry,3,24.0,0.421,3.56,0.331,10,1
fish (raw),fridge,4,5.5,0.691,8.82,0.143,2,1
cooked leftovers,fridge,1,5.6,0.53,8.94,0.657,3,0
root vegetables,fridge,6,4.9,0.234,3.24,0.661,26,0
cooked leftovers,freezer,2,-20.5,0.675,8.25,0.236,11,1
cheese,freezer,1,-18.9,0.415,1.99,0.318,75,1
yogurt,freezer,3,-16.6,0.696,6.43,0.924,35,0
citrus,fridge,7,3.3,0.385,4.12,0.918,17,0
milk,fridge,2,3.6,0.939,8.57,0.132,6,0
cooked leftovers,pantry,2,23.0,0.642,9.02,0.837,1,0
eggs,freezer,3,-18.0,0.187,2.7,0.509,98,0
rice (cooked),fridge,7,4.5,0.57,7.05,0.882,5,0
leafy greens,pantry,4,22.6,0.811,8.86,0.293,3,1
leafy greens,pantry,1,24.9,0.818,8.63,0.451,2,1
cheese,fridge,2,6.9,0.383,2.85,0.391,24,1
citrus,fridge,4,2.8,0.41,3.36,0.921,16,0
fish (raw),fridge,4,6.5,0.688,9.62,0.27,2,1
fish (raw),fridge,3,4.8,0.75,10.0,0.299,2,1
citrus,freezer,3,-16.6,0.356,3.62,0.811,50,0
eggs,pantry,2,25.6,0.135,1.9,0.85,14,0
tomato,fridge,5,6.9,0.709,7.27,0.495,6,1
eggs,fridge,1,3.5,0.082,1.45,0.813,29,0
milk,freezer,3,-17.5,0.91,7.82,0.149,25,1
bread,freezer,2,-18.6,0.227,7.43,0.675,18,0
citrus,freezer,6,-17.9,0.381,4.56,0.185,51,1
packaged snacks,pantry,3,25.3,0.025,1.0,0.539,43,0
banana,pantry,1,21.7,0.562,7.92,0.9,3,0
milk,fridge,4,4.3,0.871,7.75,0.897,8,0
root vegetables,fridge,2,5.4,0.229,4.15,0.632,27,0
rice (cooked),fridge,1,3.0,0.421,7.54,0.606,4,0
milk,fridge,3,3.5,0.958,8.3,0.748,5,0
cheese,freezer,1,-18.0,0.325,2.53,0.743,71,0
cheese,freezer,1,-17.4,0.394,3.16,0.286,72,1
berries,fridge,5,3.6,0.752,8.76,0.921,6,0
fish (raw),fridge,4,3.8,0.69,10.0,0.938,2,0
yogurt,fridge,2,3.7,0.759,6.57,0.911,8,0
fish (raw),fridge,3,3.6,0.672,9.71,0.177,2,1
banana,pantry,3,22.6,0.532,7.86,0.845,2,0
cheese,pantry,5,24.5,0.421,3.19,0.502,9,1
citrus,pantry,5,21.4,0.361,3.72,0.537,11,0
rice (cooked),fridge,4,4.2,0.485,5.76,0.892,4,0
banana,freezer,3,-16.3,0.54,7.64,0.301,17,1
banana,fridge,3,6.1,0.47,7.6,0.82,5,0
leafy greens,pantry,3,23.7,0.843,8.4,0.523,3,1
cheese,freezer,1,-17.8,0.38,2.66,0.24,75,0
chicken (raw),fridge,2,3.7,0.629,9.66,0.807,2,0
cheese,freezer,4,-20.0,0.389,2.89,0.876,75,0
cheese,fridge,3,5.2,0.257,3.42,0.837,22,0
rice (cooked),fridge,3,4.6,0.426,6.52,0.854,4,0
eggs,fridge,4,2.5,0.296,2.56,0.756,30,0
leafy greens,fridge,4,3.7,0.923,8.29,0.167,4,1
berries,pantry,6,25.7,0.83,9.61,0.834,2,0
eggs,fridge,1,3.3,0.185,1.67,0.52,28,0
chicken (raw),fridge,1,4.1,0.632,9.75,0.22,2,0
rice (cooked),fridge,1,5.9,0.504,7.14,0.554,4,0
milk,freezer,3,-17.9,0.815,8.32,0.809,23,0
fish (raw),fridge,5,2.4,0.734,9.95,0.777,2,0
milk,fridge,1,3.7,0.925,7.98,0.665,9,1
bread,fridge,2,1.1,0.302,6.74,0.823,6,0
fish (raw),fridge,5,4.1,0.723,9.88,0.186,2,1
cooked leftovers,pantry,4,22.2,0.612,9.45,0.233,2,0
citrus,fridge,2,2.0,0.517,4.01,0.836,14,0
leafy greens,pantry,6,24.4,0.856,8.49,0.409,4,1
berries,fridge,5,5.9,0.76,8.8,0.339,6,1
berries,freezer,3,-17.1,0.812,9.55,0.399,18,0
root vegetables,pantry,1,24.4,0.259,2.9,0.528,13,0
berries,fridge,1,1.5,0.781,8.1,0.318,6,0
packaged snacks,pantry,3,22.5,0.131,1.55,0.139,61,1
leafy greens,fridge,7,5.2,0.815,8.39,0.277,6,0
root vegetables,freezer,1,-19.5,0.239,3.22,0.264,73,1
fish (raw),freezer,2,-18.7,0.703,10.0,0.359,7,0
milk,fridge,2,6.1,0.861,8.33,0.56,6,1
chicken (raw),fridge,3,4.2,0.678,9.94,0.641,2,0
milk,pantry,2,22.1,0.868,7.94,0.806,3,0
citrus,pantry,1,21.5,0.336,4.11,0.51,11,1
yogurt,fridge,2,3.1,0.806,6.4,0.494,12,0
packaged snacks,pantry,1,23.0,0.098,1.23,0.625,56,0
apple,fridge,2,3.9,0.474,4.07,0.201,22,1
milk,fridge,1,4.2,0.886,7.84,0.166,6,1
eggs,fridge,2,4.8,0.192,1.45,0.837,29,0
citrus,fridge,3,4.1,0.426,4.03,0.592,14,0
cooked leftovers,fridge,6,2.8,0.577,8.33,0.503,3,0
milk,fridge,3,3.0,0.892,7.74,0.473,8,0
berries,fridge,5,3.2,0.855,9.4,0.589,5,0
citrus,fridge,2,2.7,0.416,4.1,0.86,16,0
milk,freezer,2,-17.9,0.875,8.8,0.429,25,0
citrus,fridge,3,6.8,0.379,3.91,0.851,14,0
cooked leftovers,freezer,3,-18.5,0.586,8.09,0.586,11,0
fish (raw),fridge,4,4.1,0.705,9.72,0.955,2,0
packaged snacks,pantry,4,20.0,0.047,1.61,0.877,37,0
cooked leftovers,fridge,4,4.6,0.689,9.22,0.692,3,0
milk,fridge,3,5.1,0.868,7.88,0.625,8,0
bread,fridge,4,3.8,0.278,6.57,0.474,5,0
bread,fridge,2,6.5,0.223,8.01,0.366,6,0
packaged snacks,pantry,1,21.7,0.0,1.0,0.76,71,1
tomato,pantry,3,23.3,0.715,7.0,0.809,4,0
bread,freezer,5,-16.3,0.292,7.58,0.444,18,0
leafy greens,fridge,2,2.8,0.777,8.66,0.896,4,0
apple,fridge,6,4.5,0.458,3.14,0.471,21,0
berries,fridge,5,6.6,0.73,8.86,0.6,5,0
cheese,fridge,4,2.4,0.309,3.74,0.842,20,0
berries,fridge,5,5.0,0.881,8.9,0.548,5,0
root vegetables,fridge,4,6.1,0.289,3.04,0.578,17,0
chicken (raw),freezer,1,-18.1,0.684,9.9,0.917,7,0
berries,fridge,3,7.5,0.835,8.77,0.68,4,0
berries,freezer,3,-18.0,0.835,9.32,0.38,17,1
cooked leftovers,fridge,2,2.6,0.599,8.68,0.548,3,0
citrus,fridge,4,4.2,0.507,3.75,0.662,15,0
cooked leftovers,fridge,1,6.7,0.607,9.45,0.805,3,0
root vegetables,fridge,1,2.3,0.289,3.17,0.242,19,0
yogurt,freezer,8,-14.2,0.712,6.11,0.572,35,0
apple,pantry,2,22.7,0.386,3.88,0.159,10,1
apple,pantry,5,23.5,0.451,3.73,0.666,13,0
apple,pantry,6,22.8,0.432,4.25,0.509,8,1
citrus,fridge,6,3.3,0.348,4.0,0.258,14,1
rice (cooked),pantry,1,23.4,0.591,6.66,0.13,2,0
banana,pantry,4,23.0,0.505,7.75,0.407,3,0
citrus,freezer,3,-17.1,0.416,4.63,0.59,49,0
eggs,fridge,1,6.0,0.21,2.01,0.282,30,1
fish (raw),fridge,3,2.1,0.715,9.33,0.183,2,1
rice (cooked),fridge,1,2.0,0.507,7.43,0.214,4,0
apple,fridge,2,1.4,0.39,3.32,0.611,17,0
milk,fridge,4,1.7,0.884,8.07,0.692,7,0
rice (cooked),fridge,1,2.5,0.521,6.71,0.417,4,0
yogurt,fridge,1,4.8,0.697,6.28,0.371,9,0
fish (raw),pantry,3,23.2,0.613,10.0,0.891,1,0
bread,fridge,4,4.6,0.307,6.62,0.097,5,0
banana,pantry,3,23.4,0.554,8.93,0.519,3,0
bread,pantry,2,21.5,0.321,6.5,0.592,2,0
packaged snacks,pantry,3,22.1,0.083,1.44,0.621,66,0
yogurt,fridge,5,2.6,0.689,5.11,0.888,10,0
cheese,fridge,1,3.9,0.27,3.45,0.807,23,0
berries,fridge,4,2.2,0.84,8.61,0.069,5,1
milk,freezer,3,-17.4,0.938,7.64,0.192,24,1
yogurt,fridge,4,3.7,0.803,5.54,0.877,11,0
cooked leftovers,pantry,6,24.4,0.657,9.36,0.313,2,0
berries,pantry,1,23.1,0.673,9.08,0.596,2,0
eggs,fridge,1,3.1,0.207,1.93,0.184,29,1
apple,freezer,5,-16.8,0.48,3.62,0.781,74,0
yogurt,fridge,3,3.3,0.696,5.9,0.85,8,0
berries,fridge,2,5.1,0.749,8.95,0.217,4,1
leafy greens,fridge,7,4.4,0.89,9.09,0.886,5,0
cheese,fridge,2,2.8,0.277,4.1,0.497,24,0
cheese,fridge,7,5.1,0.281,3.15,0.566,24,0
rice (cooked),fridge,3,2.1,0.572,6.79,0.538,4,0
leafy greens,fridge,2,4.2,0.919,9.65,0.631,5,0
chicken (raw),freezer,5,-16.9,0.657,10.0,0.638,7,1
root vegetables,freezer,4,-20.1,0.297,3.69,0.314,77,0
milk,freezer,1,-17.2,0.86,8.74,0.785,25,0
berries,fridge,2,5.7,0.761,9.23,0.354,6,0
chicken (raw),fridge,2,3.0,0.632,9.67,0.849,2,0
citrus,fridge,6,3.7,0.42,4.15,0.501,14,0
banana,fridge,3,3.1,0.592,8.02,0.244,6,1
packaged snacks,pantry,4,24.1,0.031,1.0,0.577,37,0
packaged snacks,pantry,3,23.3,0.021,1.24,0.854,64,0
chicken (raw),fridge,7,5.1,0.536,10.0,0.325,2,1
bread,freezer,3,-20.6,0.401,8.08,0.889,17,0
cheese,freezer,5,-20.2,0.432,2.39,0.464,75,0
packaged snacks,pantry,3,22.0,0.0,1.0,0.286,51,0
eggs,fridge,3,6.6,0.31,1.48,0.415,28,0
tomato,fridge,1,4.1,0.75,7.18,0.599,6,0
cheese,fridge,4,4.5,0.374,3.62,0.994,24,0
cheese,fridge,4,3.8,0.364,2.87,0.981,19,0
milk,fridge,1,4.2,0.908,9.11,0.86,7,0
cheese,fridge,5,4.0,0.284,3.19,0.66,21,0
banana,freezer,2,-17.1,0.592,7.96,0.484,17,0
cooked leftovers,pantry,5,22.9,0.625,8.99,0.872,1,0
banana,pantry,4,23.4,0.573,7.79,0.376,3,1
rice (cooked),pantry,1,23.7,0.455,6.92,0.619,2,0
berries,fridge,8,2.2,0.946,9.5,0.267,5,1
bread,fridge,1,5.9,0.322,6.36,0.586,5,0
berries,fridge,3,4.1,0.692,9.39,0.573,6,0
citrus,pantry,5,23.6,0.369,4.56,0.554,10,0
leafy greens,fridge,4,1.2,0.817,8.22,0.544,5,1
cheese,fridge,5,3.4,0.392,3.16,0.795,20,0
cheese,fridge,2,4.2,0.348,3.46,0.809,19,0
banana,fridge,2,3.7,0.499,8.39,0.701,6,0
cheese,freezer,1,-15.6,0.341,3.16,0.351,76,1
packaged snacks,pantry,6,25.0,0.077,1.0,0.488,47,0
cooked leftovers,pantry,3,25.4,0.585,8.5,0.162,2,1
citrus,freezer,2,-14.0,0.462,4.14,0.851,47,0
chicken (raw),pantry,1,24.4,0.607,10.0,0.218,1,0
banana,pantry,7,20.0,0.541,7.95,0.926,2,0
eggs,fridge,1,4.0,0.15,1.85,0.805,33,0
eggs,fridge,1,2.3,0.193,1.97,0.243,26,0
banana,freezer,4,-19.1,0.657,8.99,0.58,18,0
berries,fridge,2,3.4,0.835,8.82,0.499,4,0
yogurt,fridge,3,3.3,0.779,5.11,0.329,10,1
packaged snacks,freezer,1,-19.8,0.125,1.0,0.348,320,1
chicken (raw),fridge,4,3.9,0.68,10.0,0.751,2,0
citrus,fridge,3,3.5,0.438,5.18,0.056,16,0
citrus,fridge,2,-1.6,0.364,4.0,0.946,15,0
tomato,freezer,2,-19.7,0.689,7.56,0.501,26,0
cheese,fridge,3,2.3,0.377,3.03,0.635,20,0
root vegetables,fridge,2,4.9,0.255,2.45,0.554,24,0
tomato,pantry,2,25.1,0.699,7.11,0.47,5,0
bread,freezer,3,-16.3,0.318,7.34,0.959,16,0
chicken (raw),freezer,3,-15.2,0.674,10.0,0.611,8,0
rice (cooked),pantry,6,25.1,0.494,7.17,0.398,2,0
eggs,freezer,1,-18.4,0.255,2.32,0.868,100,0
apple,freezer,5,-21.9,0.448,4.55,0.618,73,0
apple,fridge,1,5.4,0.437,3.98,0.589,22,0
leafy greens,fridge,1,5.3,0.8,9.44,0.578,6,0
eggs,fridge,3,4.9,0.219,1.83,0.828,24,0
cheese,fridge,2,2.6,0.439,3.57,0.752,24,0
fish (raw),freezer,4,-20.5,0.686,10.0,0.783,7,0
berries,fridge,5,4.2,0.873,9.04,0.795,6,0
leafy greens,pantry,6,26.0,0.872,8.95,0.55,4,0
eggs,fridge,6,2.5,0.197,2.0,0.533,28,0
leafy greens,pantry,2,22.5,0.859,8.95,0.616,3,0
berries,fridge,7,4.7,0.769,9.09,0.932,5,0
chicken (raw),fridge,3,4.2,0.57,10.0,0.822,2,0
packaged snacks,pantry,4,22.7,0.022,1.19,0.454,47,0
packaged snacks,pantry,3,19.4,0.037,1.37,0.554,58,0
bread,freezer,2,-16.8,0.275,6.71,0.148,18,1
berries,pantry,1,19.2,0.845,8.57,0.614,3,1
cheese,pantry,1,24.8,0.366,2.78,0.796,13,0
yogurt,freezer,3,-19.0,0.791,5.48,0.536,35,0
root vegetables,fridge,2,4.5,0.264,2.46,0.758,19,0
banana,pantry,1,22.6,0.561,7.09,0.565,2,0
cheese,fridge,3,4.9,0.399,2.22,0.586,13,0
leafy greens,pantry,3,25.9,0.9,8.8,0.906,2,0
bread,pantry,2,23.1,0.184,6.24,0.157,4,0
packaged snacks,pantry,2,23.9,0.0,1.15,0.17,46,1
berries,fridge,2,3.6,0.818,9.19,0.947,5,0
cheese,fridge,2,5.3,0.245,2.54,0.888,20,0
chicken (raw),fridge,3,3.4,0.585,9.81,0.346,2,0
leafy greens,fridge,1,5.2,0.799,8.84,0.307,6,1
leafy greens,freezer,1,-17.1,0.884,8.67,0.464,17,0
citrus,fridge,6,8.1,0.354,4.22,0.742,13,0
chicken (raw),freezer,1,-16.0,0.645,9.07,0.693,7,0
eggs,freezer,2,-19.7,0.165,2.89,0.568,102,1
leafy greens,pantry,4,23.9,0.916,9.65,0.251,3,1
yogurt,fridge,7,4.7,0.741,5.58,0.836,11,0
leafy greens,pantry,4,21.1,0.919,8.79,0.53,3,0
milk,freezer,6,-16.8,0.888,7.8,0.539,25,0
eggs,pantry,2,24.1,0.151,1.4,0.65,15,0
chicken (raw),freezer,3,-18.8,0.616,9.75,0.641,7,1
rice (cooked),pantry,2,23.7,0.615,6.69,0.867,2,0
bread,fridge,1,6.1,0.36,7.18,0.316,6,1
yogurt,freezer,3,-19.5,0.688,5.85,0.933,35,0
eggs,fridge,2,2.5,0.179,2.0,0.816,26,0
fish (raw),fridge,5,4.3,0.76,10.0,0.848,2,0
rice (cooked),pantry,4,23.4,0.519,7.62,0.1,3,0
root vegetables,fridge,4,0.9,0.252,2.46,0.236,20,1
root vegetables,pantry,2,20.8,0.282,3.21,0.947,13,0
root vegetables,fridge,6,4.6,0.22,2.68,0.818,19,0
rice (cooked),fridge,3,6.2,0.536,6.72,0.577,4,0
cheese,fridge,3,1.9,0.308,2.78,0.501,19,0
chicken (raw),freezer,3,-18.9,0.703,10.0,0.273,7,1
root vegetables,fridge,3,3.2,0.271,3.16,0.876,22,0
apple,fridge,4,1.1,0.478,4.42,0.57,25,0
bread,pantry,4,23.9,0.338,6.72,0.426,3,1
cheese,fridge,4,4.0,0.333,3.06,0.311,21,1
leafy greens,fridge,4,4.7,0.84,9.31,0.875,4,0
tomato,pantry,2,20.8,0.714,6.36,0.65,6,0
fish (raw),fridge,7,7.8,0.634,9.79,0.847,2,0
leafy greens,pantry,2,25.6,0.809,9.32,0.808,3,0
packaged snacks,pantry,1,24.1,0.044,1.0,0.438,36,1
banana,pantry,3,21.2,0.59,7.86,0.329,3,1
cheese,freezer,3,-18.3,0.424,3.68,0.164,74,0
apple,fridge,2,5.7,0.491,3.98,0.553,24,0
milk,fridge,3,6.2,0.878,7.5,0.566,7,0
milk,freezer,5,-17.4,0.956,7.27,0.516,24,0
leafy greens,fridge,1,1.2,0.874,9.3,0.599,4,0
yogurt,fridge,1,4.3,0.831,6.57,0.792,9,0
banana,fridge,7,3.1,0.696,8.25,0.471,5,0
packaged snacks,freezer,2,-16.4,0.0,1.0,0.582,297,0
tomato,fridge,2,5.5,0.788,6.41,0.299,8,1
cheese,fridge,2,4.8,0.311,2.85,0.497,19,0
citrus,freezer,3,-18.8,0.416,3.12,0.492,50,0
rice (cooked),fridge,3,3.5,0.6,7.91,0.336,5,1
cheese,pantry,1,21.3,0.353,3.69,0.873,15,0
yogurt,fridge,3,1.6,0.728,5.38,0.289,11,0
root vegetables,fridge,5,2.0,0.243,3.32,0.277,23,0
packaged snacks,pantry,7,21.1,0.066,1.0,0.423,39,1
bread,fridge,5,1.5,0.257,7.23,0.96,5,0
chicken (raw),freezer,3,-17.0,0.709,9.8,0.748,7,0
tomato,fridge,1,5.6,0.695,7.3,0.593,9,0
tomato,fridge,2,4.7,0.578,6.84,0.185,9,1
eggs,pantry,7,21.6,0.202,2.48,0.171,16,0
banana,fridge,4,4.5,0.461,7.92,0.522,6,0
cheese,fridge,5,2.9,0.259,2.65,0.506,19,0
cooked leftovers,freezer,2,-19.1,0.651,8.98,0.561,10,0
citrus,pantry,1,26.3,0.44,4.43,0.902,10,0
berries,pantry,3,21.1,0.816,8.84,0.586,3,0
eggs,fridge,2,3.5,0.224,2.03,0.739,25,0
milk,fridge,1,2.3,0.957,8.47,0.156,7,0
cooked leftovers,fridge,5,6.4,0.525,9.07,0.829,3,0
rice (cooked),fridge,1,1.0,0.578,7.54,0.653,5,0
cheese,fridge,1,4.0,0.365,2.95,0.872,19,0
bread,fridge,4,4.7,0.297,6.59,0.827,5,0
rice (cooked),fridge,4,5.6,0.552,7.03,0.271,4,1
eggs,freezer,6,-18.7,0.326,2.51,0.218,97,1
yogurt,pantry,2,22.4,0.658,5.49,0.545,7,0
apple,fridge,3,2.2,0.54,4.57,0.657,22,0
tomato,pantry,6,23.9,0.633,8.04,0.642,4,0
rice (cooked),fridge,5,3.9,0.539,7.07,0.524,3,0
berries,pantry,6,24.5,0.814,9.38,0.372,3,0
apple,freezer,7,-21.3,0.501,4.18,0.62,73,0
tomato,pantry,3,24.1,0.654,6.9,0.567,4,0
rice (cooked),fridge,1,5.9,0.517,6.64,0.79,5,0
apple,pantry,2,22.0,0.522,3.38,0.86,11,0
milk,freezer,1,-19.1,0.846,8.13,0.578,24,0
berries,fridge,6,5.9,0.784,9.71,0.624,6,0
tomato,pantry,1,24.2,0.674,6.65,0.814,5,0
yogurt,fridge,3,2.9,0.719,5.54,0.5,8,0
tomato,fridge,4,3.6,0.678,6.71,0.497,6,0
leafy greens,pantry,2,22.6,0.821,9.46,0.285,2,1
tomato,fridge,5,7.2,0.748,7.08,0.125,7,0
berries,fridge,2,4.2,0.842,9.82,0.222,5,0
apple,fridge,2,3.9,0.429,4.33,0.565,23,0
rice (cooked),fridge,6,3.6,0.471,7.05,0.681,3,0
milk,fridge,4,3.2,0.898,7.94,0.81,6,0
bread,fridge,4,4.2,0.299,5.94,0.905,5,0
eggs,fridge,1,4.4,0.221,2.83,0.4,24,0
berries,fridge,1,0.2,0.809,9.3,0.591,5,0
yogurt,fridge,4,3.7,0.764,6.62,0.205,11,0
packaged snacks,pantry,4,25.5,0.0,2.12,0.178,41,0
root vegetables,pantry,4,24.6,0.221,2.89,0.817,10,0
milk,fridge,1,3.4,0.902,7.21,0.617,8,0
rice (cooked),pantry,5,22.4,0.648,7.14,0.595,2,0
tomato,pantry,5,22.5,0.81,7.61,0.804,4,0
rice (cooked),pantry,7,23.2,0.553,7.13,0.846,2,0
bread,pantry,2,24.3,0.276,7.2,0.606,4,0
chicken (raw),freezer,4,-16.6,0.601,9.47,0.478,7,0
leafy greens,pantry,2,23.7,0.88,8.69,0.94,3,0
packaged snacks,pantry,4,23.1,0.075,1.0,0.886,54,0
fish (raw),fridge,1,5.7,0.672,10.0,0.559,2,0
milk,fridge,8,2.8,0.888,7.55,0.326,8,1
leafy greens,pantry,4,24.9,0.931,8.44,0.869,2,0
banana,fridge,1,4.0,0.457,7.64,0.7,5,0
cheese,fridge,2,3.6,0.36,2.97,0.213,20,1
apple,fridge,2,6.9,0.467,3.13,0.155,22,1
chicken (raw),fridge,3,3.4,0.609,9.0,0.258,2,1
apple,freezer,5,-16.9,0.502,4.4,0.665,77,0
bread,fridge,2,3.6,0.32,6.68,0.564,6,0
packaged snacks,pantry,7,23.1,0.04,1.0,0.206,29,0
packaged snacks,pantry,3,22.8,0.0,1.97,0.549,43,1
milk,freezer,1,-17.6,0.887,7.09,0.526,26,0
leafy greens,fridge,2,3.2,0.87,9.08,0.572,5,0
cheese,fridge,6,6.6,0.316,2.2,0.926,21,0
berries,freezer,2,-19.2,0.877,8.46,0.477,18,0
milk,fridge,4,4.9,0.892,7.39,0.643,8,0
yogurt,fridge,2,3.4,0.707,6.58,0.492,11,0
leafy greens,fridge,2,5.2,0.863,8.47,0.281,4,1
tomato,pantry,3,23.3,0.631,6.51,0.793,4,0
milk,freezer,1,-17.6,0.833,7.67,0.722,25,0
eggs,pantry,1,26.6,0.184,2.37,0.061,15,1
apple,freezer,3,-17.3,0.471,4.38,0.859,76,0
bread,pantry,4,24.1,0.353,5.63,0.228,4,1
chicken (raw),fridge,4,4.3,0.597,10.0,0.586,2,0
root vegetables,fridge,6,3.9,0.286,4.09,0.295,18,1
apple,fridge,3,4.1,0.433,4.24,0.301,18,0
milk,fridge,2,4.9,0.893,8.71,0.816,9,0
leafy greens,fridge,7,4.7,0.779,8.78,0.233,5,1
fish (raw),fridge,1,3.8,0.649,9.64,0.524,2,0
yogurt,fridge,2,2.1,0.668,5.82,0.497,10,0
packaged snacks,pantry,6,23.7,0.041,1.15,0.175,28,1
bread,pantry,3,21.8,0.318,6.3,0.69,1,1
banana,fridge,4,2.4,0.592,7.94,0.675,5,0
milk,fridge,1,3.5,0.889,8.41,0.521,8,0
eggs,freezer,9,-17.7,0.144,2.45,0.718,100,0
rice (cooked),pantry,4,23.2,0.572,7.56,0.087,2,1
root vegetables,freezer,4,-18.4,0.137,2.97,0.835,75,0
cheese,freezer,3,-16.5,0.268,2.3,0.528,74,0
banana,fridge,6,5.7,0.642,7.76,0.242,4,1
milk,fridge,4,1.0,0.89,8.15,0.573,6,0
yogurt,pantry,2,22.9,0.743,5.69,0.841,5,0
bread,fridge,1,4.5,0.368,7.25,0.816,5,0
milk,fridge,5,4.5,0.886,8.52,0.185,8,0
rice (cooked),freezer,3,-21.0,0.564,5.9,0.855,13,0
eggs,fridge,3,3.4,0.22,1.92,0.834,26,0
tomato,fridge,1,1.9,0.682,6.6,0.446,7,1
cheese,fridge,3,2.9,0.36,3.49,0.395,20,0
citrus,freezer,5,-16.4,0.346,3.53,0.661,50,1
leafy greens,pantry,4,27.2,0.838,9.55,0.196,3,1
fish (raw),freezer,5,-16.7,0.691,10.0,0.734,7,0
milk,fridge,3,4.0,0.765,7.87,0.801,6,0
rice (cooked),pantry,5,24.4,0.575,7.08,0.685,3,0
fish (raw),freezer,4,-19.8,0.66,9.64,0.47,7,0
banana,fridge,4,2.9,0.561,7.6,0.078,5,1
berries,fridge,2,2.9,0.898,8.73,0.357,5,1
berries,fridge,6,3.1,0.849,9.59,0.924,5,0
leafy greens,freezer,2,-17.3,0.83,8.75,0.253,18,1
berries,fridge,3,6.2,0.845,9.67,0.642,5,0
citrus,fridge,1,2.0,0.426,4.75,0.884,11,0
citrus,fridge,7,5.0,0.425,3.66,0.779,13,0
eggs,fridge,3,7.7,0.23,1.42,0.479,29,0
milk,fridge,3,4.2,0.833,8.0,0.304,8,0
chicken (raw),fridge,1,2.8,0.666,10.0,0.744,2,0
banana,fridge,2,4.8,0.583,7.92,0.795,5,0
cooked leftovers,fridge,6,5.1,0.644,8.84,0.87,3,0
bread,freezer,1,-18.5,0.267,6.66,0.321,16,1
yogurt,freezer,3,-17.7,0.7,5.78,0.455,37,0
yogurt,freezer,2,-17.5,0.689,6.07,0.923,37,0
cooked leftovers,pantry,6,25.0,0.531,8.8,0.874,2,0
eggs,fridge,4,4.3,0.063,2.83,0.53,26,0
apple,fridge,4,4.4,0.47,4.31,0.686,24,0
fish (raw),freezer,4,-18.6,0.575,9.99,0.522,7,1
tomato,fridge,3,1.8,0.623,6.17,0.624,5,0
milk,fridge,4,4.7,0.876,8.08,0.545,8,0
chicken (raw),freezer,1,-19.2,0.679,10.0,0.847,7,0
eggs,fridge,3,3.9,0.235,1.63,0.443,31,0
tomato,fridge,3,3.9,0.667,7.46,0.781,6,0
apple,fridge,5,5.6,0.461,3.78,0.473,17,0
eggs,pantry,1,25.5,0.118,1.4,0.494,14,0
leafy greens,pantry,6,20.1,0.849,8.94,0.556,3,0
cheese,fridge,3,3.2,0.345,3.19,0.781,23,0
tomato,fridge,1,6.8,0.699,7.67,0.228,7,1
milk,fridge,1,7.7,0.914,8.32,0.618,7,0
chicken (raw),fridge,4,4.9,0.6,10.0,0.111,2,1
milk,fridge,1,4.7,0.927,7.91,0.513,7,0
leafy greens,freezer,1,-20.4,0.776,9.29,0.548,17,0
yogurt,freezer,4,-21.0,0.759,6.26,0.545,35,0
chicken (raw),pantry,3,22.5,0.693,9.95,0.248,1,1
banana,fridge,4,3.1,0.529,7.82,0.823,4,0
cooked leftovers,fridge,3,6.1,0.569,8.98,0.422,3,0
tomato,pantry,2,23.2,0.654,7.24,0.787,4,0
tomato,fridge,3,4.1,0.663,7.11,0.772,6,0
cheese,freezer,3,-17.8,0.335,2.61,0.538,73,0
fish (raw),freezer,3,-19.1,0.69,10.0,0.816,7,0
leafy greens,fridge,5,3.7,0.795,8.51,0.553,6,0
cooked leftovers,fridge,2,3.9,0.619,9.87,0.879,3,0
leafy greens,fridge,7,6.6,0.803,9.04,0.813,5,0
cheese,freezer,1,-17.4,0.299,2.99,0.19,73,1
citrus,pantry,4,22.8,0.422,2.8,0.888,9,0
bread,fridge,3,3.1,0.36,7.66,0.171,5,1
citrus,fridge,1,5.4,0.458,4.3,0.53,10,0
tomato,pantry,5,22.1,0.685,7.61,0.521,4,1
apple,fridge,3,5.3,0.389,4.17,0.764,24,0
eggs,fridge,2,2.6,0.305,2.0,0.166,28,1
eggs,fridge,6,3.8,0.181,1.82,0.784,22,0
cooked leftovers,fridge,7,1.8,0.572,9.32,0.211,3,1
citrus,freezer,1,-17.0,0.487,4.02,0.578,49,1
leafy greens,freezer,1,-18.9,0.853,7.98,0.686,17,0
banana,pantry,2,21.6,0.563,8.05,0.187,3,1
chicken (raw),fridge,4,4.9,0.72,9.8,0.213,2,0
milk,freezer,4,-19.0,0.895,7.68,0.324,24,0
bread,fridge,1,2.3,0.321,7.19,0.278,5,1
